title,author,isbn,goodreads_id,goodreads_shelf,status,owned,rating,page_count,published_year,goodreads_date_read,publisher
Sweet Nothing,Jamie McGuire,9781507606018,25148845,to-read,unread,true,,328,2015,,CreateSpace Independent Publishing Platform
I Can Be a Better You,Tarryn Fisher,,43662570,to-read,unread,true,,300,2018,,
"Just for the Summer (Part of Your World, #3)",Abby Jimenez,,195834342,to-read,unread,true,,424,2024,,Forever
The Nazis Knew My Name,Magda Hellinger,9781982181222,56898304,to-buy,wishlist,false,,320,2022,,Atria Books
The Boys in the Boat: The True Story of an American Team's Epic Journey to Win Gold at the 1936 Olympics,Gregory Mone,9780451475923,24611866,to-read,unread,true,,227,2015,,Viking Books for Young Readers
"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,9780735225268,61423989,to-buy,wishlist,false,,432,2023,,Viking
Breaking Free,Rachel Jeffs,9780062692825,34217597,to-buy,wishlist,false,,400,2017,,Harper
Home Is Where the Bodies Are,Jeneva Rose,9798212182867,193993695,read,read,true,5,295,2024,2025/08/03,Blackstone Publishing
American Psycho,Bret Easton Ellis,9780679735779,28676,to-read,unread,true,,399,1991,,Vintage Contemporaries
The Story of the Trapp Family Singers,Maria Augusta von Trapp,,11211409,read,read,true,4,377,2011,2025/07/29,HarperCollins e-books
The Wedding People,Alison Espach,9781250899569,177328214,to-read,unread,true,,384,2024,,Henry Holt and Co.
STORM OF SUSPICION: The Karen Read Murder Trials,Kevin Lenihan,9781964730431,230232427,read,read,true,3,355,2025,2025/06/23,WildBlue Press
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,,60748,read,read,true,5,184,1995,2025/06/20,Health Communications Inc
A Brother's Journey,Richard B. Pelzer,9780446696333,744754,to-buy,wishlist,false,,272,2006,,Grand Central Publishing
Reflection,Elizabeth Lim,9781484781296,35960069,read,read,true,5,416,2018,2025/06/14,Random House/Disney
A Twisted Tale Anthology,Elizabeth Lim,9781368080415,113277272,to-read,unread,true,,576,2023,,Disney Hyperion
So This is Love,Elizabeth Lim,9781368013826,51300053,to-buy,wishlist,false,,416,2020,,Disney Hyperion
Discovering Titanic: Searching for the Stories Behind the Shipwreck,Ben Hubbard,9781783124121,40543770,read,read,true,3,64,2019,2025/06/12,Carlton Kids
Eva's Story: A Holocaust Survivor's Tale by the Stepsister of Anne Frank,Eva Schloss,9781467457668,59050120,read,read,true,5,271,2019,2025/06/12,Eerdmans Books for Young Readers
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,9780735243347,58784475,to-buy,wishlist,false,,399,2022,,Knopf
Almond,Sohn Won-Pyung,9780062961372,52219386,to-buy,wishlist,false,,272,2020,,HarperVia
All the Lovers in the Night,Mieko Kawakami,9781609456993,59336625,to-buy,wishlist,false,,224,2022,,Europa Editions
"We'll Prescribe You a Cat (We'll Prescribe You a Cat, #1)",Syou Ishida,9780593818749,209891170,to-buy,wishlist,false,,297,2024,,Berkley
What You Are Looking for Is in the Library,Michiko Aoyama,9781335005625,91274427,to-buy,wishlist,false,,304,2023,,Hanover Square Press
Welcome to the Hyunam-Dong Bookshop,Hwang Bo-Reum,,133938826,to-buy,wishlist,false,,307,2024,,Bloomsbury Publishing
"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,9780063278677,62047992,to-buy,wishlist,false,,150,2023,,Harper Perennial
The Lantern of Lost Memories,Sanaka Hiiragi,9781538757437,204593511,to-buy,wishlist,false,,208,2024,,Grand Central Publishing
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,,1898,to-read,unread,true,,368,1999,,Anchor Books
Room,Emma Donoghue,,31685789,to-read,unread,true,,321,2010,,"Little, Brown and Company"
Bonk: The Curious Coupling of Science and Sex,Mary Roach,9780393334791,5981308,to-buy,wishlist,false,,303,2009,,W. W. Norton & Company
Fuzz: When Nature Breaks the Law,Mary Roach,9781324001935,56769577,to-buy,wishlist,false,,308,2021,,W. W. Norton & Company
Penelope's Bones: A New History of Homer’s World through the Women Written Out of It,Emily Hauser,9780226839684,218663941,to-read,unread,true,,373,2025,,University of Chicago Press
The Maid (Molly the Maid #1),Nita Prose,9780593356173,63024280,to-read,unread,true,,336,2023,,Ballantine Books
Family of Spies,Christine Kuehn,9781250344465,222376793,to-read,unread,true,,272,2025,,Celadon Books
After Auschwitz,Eva Schloss,9781444760682,17828703,read,read,true,5,336,2013,2025/05/30,Hodder & Stoughton
Unnatural Causes: The Life and Many Deaths of Britain's Top Forensic Pathologist,Richard Shepherd,9780718182717,27833843,to-buy,wishlist,false,,400,2018,,Michael Joseph
"Forensics: What Bugs, Burns, Prints, DNA and More Tell Us About Crime",Val McDermid,9780802123916,23214337,to-buy,wishlist,false,,310,2015,,Grove Press
