title,author,genre,subgenre,isbn,page_count,rating,status,owned,synopsis,date_added
Before the Coffee Gets Cold,Toshikazu Kawaguchi,,Magical Realism,9781335430991,240,,unread,true,"If you could go back, who would you want to meet? In a small back alley of Tokyo, there is a cafÃ© that has been serving carefully brewed coffee for more than one hundred years. Local legend says that this shop offers something else besides coffee--the chance to travel back in time. Over the course of one summer, four customers visit the cafÃ© in the hopes of making that journey. But time travel isnâ€™t so simple, and there are rules that must be followed. Most important, the trip can last only ",2026-02-15
Beloved,Toni Morrison,Historical Fiction,,9780452264465,173,,unread,true,"(Â© 1987)
 NOBEL LAUREATE and PULITZER PRIZE WINNER 1988 â€”
 Sethe. Proud and beautiful, she escaped from slavery but is haunted by its heritage. She must deal with this haunted life on every level, from the fires of the flesh to the heartbreaking challenges to the spirit. Set in rural Ohio several years after the Civil War, this profoundly affecting chronicle of slavery and its aftermath is Toni Morrisonâ€™s greatest novel, a dazzling achievement, and the most spellbinding reading experience o",2025-06-30
Beyond Belief: My Secret Life Inside Scientology And My Harrowing Escape,Jenna Miscavige Hill,,,nocode20190727145308987,,,unread,true,,2025-05-12
Beyond The Point,Claire Gibson,,,9781643852713,,,unread,true,,2024-10-25
Beyond the Wand,Tom Felton,Autobiography,,9781538741368,283,,unread,true,"From the magical moments on set as Draco Malfoy to the challenges of growing up in the spotlight, get a backstage pass into Tom Feltonâ€™s life on and off the big screen. Tom Feltonâ€™s adolescence was anything but ordinary. His early rise to fame in beloved films like The Borrowers catapulted him into the limelight, but nothing could prepare him for what was to come after he landed the iconic role of the Draco Malfoy, the bleached blonde villain of the Harry Potter movies. For the next ten year",2024-10-25
Black Hawk Down: A Story of Modern War,Mark Bowden,History,,9780140288506,392,,unread,true,"Already a classic of war reporting and now reissued as a Grove Press paperback, Black Hawk Down is Mark Bowdenâ€™s brilliant account of the longest sustained firefight involving American troops since the Vietnam War. On October 3, 1993, about a hundred elite U.S. soldiers were dropped by helicopter into the teeming market in the heart of Mogadishu, Somalia. Their mission was to abduct two top lieutenants of a Somali warlord and return to base. It was supposed to take an hour. Instead, they found",2025-06-30
Blood Brothers,Deanne Stillman,,,9781476773537,,,unread,true,Winner of the 2018 Ohioana Book Award for Nonfiction The little-known but uniquely American story of the unlikely friendship of two famous figures of the American Westâ€”Buffalo Bill Cody and Sitting Bullâ€”told through the prism of their collaboration in Codyâ€™s Wild West show in 1885. â€œSplendidâ€¦ Blood Brothers eloquently explores the clash of cultures on the Great Plains that initially united the two legends and how this shared experience contributed to the creation of their ironic politi,2024-09-23
Blood and Gold,Anne Rice,Horror,Vampires,9780679454496,471,,unread,true,Time heals all wounds unless of course youre a vampire. Cuts may heal burns vanish limbs reattach but for the blood god the wounds of the heart sometimes stay open and raw for centuries. So it is for Marius Anne Rices oftmentioned and beloved scholar. Weve heard parts of his tale in past volumes of the Vampire Chronicles but never so completely and never from his own lips. In Blood and Gold Rice mostly but not entirely avoids the danger of treading worn ground as she fills out the life and chara,2024-10-25
Brave New World,Aldous Huxley,Drama,100 Books Every Man Should Read Art Of Manliness,9780060850524,259,,unread,true,"â€Community, Identity, Stabilityâ€ is the motto of Aldous Huxleyâ€™s utopian World State. Here everyone consumes daily grams of soma, to fight depression, babies are born in laboratories, and the most popular form of entertainment is a â€Feelie,â€ a movie that stimulates the senses of sight, hearing, and touch. Though there is no violence and everyone is provided for, Bernard Marx feels something is missing and senses his relationship with a young women has the potential to be much more than",2025-06-29
Breaking Dawn,Stephenie Meyer,Fantasy,Romance,9780316067928,754,4,read,true,"When you loved the one who was killing you, it left you no options. How could you run, how could you fight, when doing so would hurt that beloved one? If your life was all you had to give, how could you not give it? If it was someone you truly loved?

To be irrevocably in love with a vampire is both fantasy and nightmare woven into a dangerously heightened reality for Bella Swan. Pulled in one direction by her intense passion for Edward Cullen, and in another by her profound connection to werewo",2024-05-05
Breathe,Abbi Glines,Romance,,9781442488694,267,,unread,true,"In 1883 Colorado Springs, Odessa arrives at a famous sanitarium seeking a cure for the disease that killed her brothers, but she witnesses a murder in the ...",2024-10-25
"Bridgerton #5 To Sir Phillip, With Love",Julia Quinn,Romance,,9780062353733,400,,unread,true,"Sir Phillip knew that Eloise Bridgerton was a spinster, and so he proposed, figuring that shed be homely and unassuming, and more than a little desperate for an offer of marriage. Except...she wasnâ€™t. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss her...and more.

Did he think she was mad? Eloise Bridgerton couldnâ€™t marry a man she had never met! But then she started thinking...and wonderin",2026-03-11
Brochet,Steven Borzachillo,,,9798890032607,,,unread,true,"Assemble your troops and polish your hooks and needles: the crochet fight has begun! In this unique guide to creating your crafty armory, beloved crochet enthusiast and certified funny guy Steven Borzachillo shows you how to wield the most frightening weapons of war from the fluffiest of yarns.Surprise your friends with sneak attacks with a fluffy Ninja Star, walk your family down the plank with a soft but powerful Pirate Sword or surprise your siblings on the other side of the couch with velvet",2026-02-15
"Brothers in Battle, Best of Friends, Two WWII Paratroopers from the Original Band of Brothers Tell Their Story",William Guarnere,History,World War II,9780425224366,296,,unread,true,"Tom Hanks introduces the remarkable(Publishers Weekly) story of two inseparable friends and soldiers portrayed in the HBO miniseries Band of Brothers. William Wild Bill Guarnere and Edward Babe Heffron were among the first paratroopers of the U.S. Armymembers of an elite unit of the 101st Airborne Division called Easy Company. The crack unit was called upon for every high-risk operation of the war, including D-Day, Operation Market Garden in Holland, the Battle of the Bulge, and the capture of H",2024-10-25
Budgeting 101,Michele Cagan,Business,2023,9781507220573,,,unread,true,,2024-09-23
Business Model Generation,Alexander Osterwalder and Yves Pigneur,Design,,9780470876411,280,,unread,true,"Coauthored by 470 Business Model Canvas practitioners from forty-five countries, the book was financed and produced independently of the traditional publishing ...",2024-10-25
Cainâ€™s Jawbone: A Novel Problem,Torquemada,Fiction,,9781800180796,100,,unread,true,"Six murders. One hundred pages. Millions of possible combinations... but only one is correct. Can you solve Torquemadaâ€™s murder mystery?

In 1934, the Observerâ€™s cryptic crossword compiler, Edward Powys Mathers (aka Torquemada), released a novel that was simultaneously a murder mystery and the most fiendishly difficult literary puzzle ever written. The pages have been printed in an entirely haphazard order, but it is possibleâ€”through logic and intelligent readingâ€”to sort the pages into t",2024-09-23
Catching Fire,Suzanne Collins,Adventure,Kidâ€™s Chapter Book,9780545586177,391,,unread,true,"Book 2 
Against all odds, Katniss Everdeen and Peeta Mellark are still alive. Katniss should be relieved, but now there are whispers of a rebellion against the Capitol - a rebellion that Katniss and Peeta may have helped create. As the nation watches Katniss and Peeta, the stakes are higher than ever. One false move and the consequences will be unimaginable.",2024-10-25
Ceaseless,Abbi Glines,,,9780692341520,188,,unread,true,,2024-10-25
Challenger: A True Story of Heroism and Disaster on the Edge of Space,Adam Higginbotham,History,NASA,9781982176617,561,,unread,true,"â€On January 28, 1986, just seventy-three seconds into flight, the space shuttle Challenger broke apart over the Atlantic Ocean, killing all seven people on board. Millions of Americans witnessed the tragic deaths of a crew including New Hampshire schoolteacher Christa McAuliffe. Like the assassination of JFK, the Challenger disaster is a defining moment in 20th century history--one that forever changed the way America thought of itself and its optimistic view of the future. Yet the full story ",2025-03-29
"Chaos Charles Manson, The CIA, And The Secret History Of The Sixties",Tom Oâ€™Neill,Crime,Government Organizations,9780316477543,521,,unread,true,,2025-03-29
Classic Storybook Collection,Disney Artists,Childrenâ€™s,,9781484753378,304,,unread,true,,2024-10-25
"Clockwork Orange, A",Anthony Burgess,Fiction,Crime,9780393312836,192,,unread,true,A Clockwork Orange by Anthony Burgess (1986),2026-02-15
Code Girls,Liza Mundy,History,,9780316352543,448,,unread,true,"A Washington Post Notable Book of 2017

In Code Girls, Liza Mundy has brought to life an â€œextraordinaryâ€ (Houston Chronicle) story of American courage, service, and science.  Recruited from small Southern towns and posh New England colleges, 10,000 American women served the U.S. Army and Navy as code breakers during World War II.  While their brothers and husbands took up arms, these women moved to Washington and, under strict vows of secrecy, learned the meticulous work of breaking German a",2025-07-27
Cold-Hearted,Serena Valentino,,,9781338884739,,,unread,true,,2025-06-30
Columbine,Dave Cullen,Biography,,9780446546928,464,,unread,true,"What really happened April 20, 1999? The horror left an indelible stamp on the American psyche, but most of what we â€knowâ€ is wrong. It wasnâ€™t about jocks, Goths, or the Trench Coat Mafia. Dave Cullen was one of the first reporters on scene, and spent ten years on this book-widely recognized as the definitive account. With a keen investigative eye and psychological acumen, he draws on mountains of evidence, insight from the worldâ€™s leading forensic psychologists, and the killersâ€™ own w",2024-10-25
Confess,Colleen Hoover,Romance,,9781476791456,306,,unread,true,"From #1 New York Times bestselling author Colleen Hoover, a novel about risking everything for loveâ€”and finding your heart somewhere between the truth and lies.

At age twenty-one, Auburn Reed has already lost everything important to her. In her fight to rebuild her shattered life, she has her goals in sight and there is no room for mistakes. But when she walks into a Dallas art studio in search of a job, she doesnâ€™t expect to find a deep attraction to the enigmatic artist who works there, O",2024-10-25
Cosmos,Carl Sagan,Education,,9780345539434,396,,unread,true,"Cosmos (1980) is a popular science book by astronomer and Pulitzer Prize-winning author Carl Sagan. Its 13 illustrated chapters, corresponding to the 13 episodes of the Cosmos TV series on which the book was based, explore the mutual development of science and civilization. Spurred in part by the popularity of the TV series, Cosmos spent 50 weeks on the Publishers Weekly best-sellers list and 70 weeks on the New York Times Best Seller list to become the best-selling science book ever published a",2024-10-25
